project_id,budget_year,project_year,project_name,organization_id,main_change_reason,notes,initial_budget_total,adjustment_total,carryover_from_previous_total,contingency_total,execution_total,carryover_to_next_total,next_year_request_total
1,2024,2024,内閣人事局経費,1,,,33498000.0,0.0,0.0,0.0,0.0,0.0,34482000.0
1,2024,2024,内閣人事局経費,2,,,,,,,,,
1,2023,2024,内閣人事局経費,3,,,33328000.0,0.0,0.0,0.0,11200834.0,0.0,33498000.0
1,2023,2024,内閣人事局経費,4,,,,,,,,,
1,2022,2024,内閣人事局経費,5,,,36142000.0,0.0,0.0,0.0,26711000.0,0.0,33328000.0
1,2022,2024,内閣人事局経費,6,,,,,,,,,
1,2021,2024,内閣人事局経費,7,新たな成長推進枠：17管理職のマネジメント能力向上に向けた取組として、マネジメント研修の充実を図るための環境整備に係る請負に関する経費を計上したため。,,29457000.0,0.0,0.0,0.0,23771000.0,0.0,45013000.0
1,2021,2024,内閣人事局経費,8,,,,,,,,,
4,2024,2024,情報システムの整備（情報通信技術調達等適正・効率化推進費）,9,"重要政策推進枠：128,761,683",,480000000000.0,205000000000.0,93383296000.0,0.0,0.0,0.0,579012000000.0
4,2024,2024,情報システムの整備（情報通信技術調達等適正・効率化推進費）,10,,,,,,,,,
