block_id,project_id,budget_year,block_no,block_name,role_in_project,block_total_amount,created_at
1,1,2024,A,株式会社ブルーコンシャスほか,研修の企画、運営支援等,,2025-08-25T06:25:44.348499
2,1,2024,A,,,632000.0,2025-08-25T06:25:44.348499
3,1,2024,A,,,,2025-08-25T06:25:44.348499
4,1,2024,A,,,999000.0,2025-08-25T06:25:44.348499
5,1,2024,A,,,1284000.0,2025-08-25T06:25:44.348499
6,1,2024,A,,,2608000.0,2025-08-25T06:25:44.348499
7,1,2024,A,,,3295000.0,2025-08-25T06:25:44.348499
8,1,2024,A,,,253000.0,2025-08-25T06:25:44.348499
9,1,2024,B,株式会社クオリアほか,講師への謝金、旅費等,,2025-08-25T06:25:44.348499
10,1,2024,B,,,90000.0,2025-08-25T06:25:44.348499
